h3,population,Intensity,population_class,colors
8839838129fffff,2.0,VII (Very Strong),0 - 1000,"(0.6303575547866205, 0.7673125720876586, 0.8591926182237601, 1.0)"
883983811dfffff,2.0,VI (Strong),0 - 1000,"(0.7113725490196079, 0.8224298346789696, 0.8905344098423683, 1.0)"
8839815443fffff,56.0,V (Moderate),0 - 1000,"(0.8113417916186083, 0.8771241830065359, 0.9123029603998463, 1.0)"
8839838115fffff,1.0,VII (Very Strong),0 - 1000,"(0.6303575547866205, 0.7673125720876586, 0.8591926182237601, 1.0)"
8839838111fffff,2.0,VI (Strong),0 - 1000,"(0.7113725490196079, 0.8224298346789696, 0.8905344098423683, 1.0)"
88398380e3fffff,1216.0,VI (Strong),1000 - 5000,"(0.7055824682814302, 0.7104113802383698, 0.7378931180315264, 1.0)"
8839815433fffff,1.0,V (Moderate),0 - 1000,"(0.8113417916186083, 0.8771241830065359, 0.9123029603998463, 1.0)"
883981541dfffff,28.0,V (Moderate),0 - 1000,"(0.8113417916186083, 0.8771241830065359, 0.9123029603998463, 1.0)"
8839815415fffff,2.0,V (Moderate),0 - 1000,"(0.8113417916186083, 0.8771241830065359, 0.9123029603998463, 1.0)"
8839838037fffff,4.0,VI (Strong),0 - 1000,"(0.7113725490196079, 0.8224298346789696, 0.8905344098423683, 1.0)"
8839837b21fffff,71.0,VI (Strong),0 - 1000,"(0.7113725490196079, 0.8224298346789696, 0.8905344098423683, 1.0)"
8839814f37fffff,1138.0,VI (Strong),1000 - 5000,"(0.7055824682814302, 0.7104113802383698, 0.7378931180315264, 1.0)"
8839814eb7fffff,830.0,VI (Strong),0 - 1000,"(0.7113725490196079, 0.8224298346789696, 0.8905344098423683, 1.0)"
8839837b11fffff,1.0,VI (Strong),0 - 1000,"(0.7113725490196079, 0.8224298346789696, 0.8905344098423683, 1.0)"
8839837a85fffff,1.0,VI (Strong),0 - 1000,"(0.7113725490196079, 0.8224298346789696, 0.8905344098423683, 1.0)"
8839837a37fffff,2043.0,VI (Strong),1000 - 5000,"(0.7055824682814302, 0.7104113802383698, 0.7378931180315264, 1.0)"
88398379d3fffff,1.0,VI (Strong),0 - 1000,"(0.7113725490196079, 0.8224298346789696, 0.8905344098423683, 1.0)"
8839814eb5fffff,1.0,VI (Strong),0 - 1000,"(0.7113725490196079, 0.8224298346789696, 0.8905344098423683, 1.0)"
883983791bfffff,97.0,VI (Strong),0 - 1000,"(0.7113725490196079, 0.8224298346789696, 0.8905344098423683, 1.0)"
88398378cdfffff,1.0,VI (Strong),0 - 1000,"(0.7113725490196079, 0.8224298346789696, 0.8905344098423683, 1.0)"
8839814eb3fffff,307.0,V (Moderate),0 - 1000,"(0.8113417916186083, 0.8771241830065359, 0.9123029603998463, 1.0)"
88398378adfffff,1.0,VI (Strong),0 - 1000,"(0.7113725490196079, 0.8224298346789696, 0.8905344098423683, 1.0)"
883983736dfffff,46.0,VI (Strong),0 - 1000,"(0.7113725490196079, 0.8224298346789696, 0.8905344098423683, 1.0)"
8839814e91fffff,2.0,V (Moderate),0 - 1000,"(0.8113417916186083, 0.8771241830065359, 0.9123029603998463, 1.0)"
8839814e8bfffff,23.0,V (Moderate),0 - 1000,"(0.8113417916186083, 0.8771241830065359, 0.9123029603998463, 1.0)"
8839837361fffff,5.0,VI (Strong),0 - 1000,"(0.7113725490196079, 0.8224298346789696, 0.8905344098423683, 1.0)"
8839837343fffff,2.0,VI (Strong),0 - 1000,"(0.7113725490196079, 0.8224298346789696, 0.8905344098423683, 1.0)"
8839837341fffff,2.0,VI (Strong),0 - 1000,"(0.7113725490196079, 0.8224298346789696, 0.8905344098423683, 1.0)"
8839814e83fffff,1.0,V (Moderate),0 - 1000,"(0.8113417916186083, 0.8771241830065359, 0.9123029603998463, 1.0)"
88398370a9fffff,197.0,VI (Strong),0 - 1000,"(0.7113725490196079, 0.8224298346789696, 0.8905344098423683, 1.0)"
883983632bfffff,1.0,V (Moderate),0 - 1000,"(0.8113417916186083, 0.8771241830065359, 0.9123029603998463, 1.0)"
8839814debfffff,588.0,VI (Strong),0 - 1000,"(0.7113725490196079, 0.8224298346789696, 0.8905344098423683, 1.0)"
8839814de9fffff,657.0,VI (Strong),0 - 1000,"(0.7113725490196079, 0.8224298346789696, 0.8905344098423683, 1.0)"
8839836317fffff,1.0,V (Moderate),0 - 1000,"(0.8113417916186083, 0.8771241830065359, 0.9123029603998463, 1.0)"
8839814de3fffff,2279.0,VI (Strong),1000 - 5000,"(0.7055824682814302, 0.7104113802383698, 0.7378931180315264, 1.0)"
8839814dd7fffff,663.0,VI (Strong),0 - 1000,"(0.7113725490196079, 0.8224298346789696, 0.8905344098423683, 1.0)"
883983625dfffff,31.0,V (Moderate),0 - 1000,"(0.8113417916186083, 0.8771241830065359, 0.9123029603998463, 1.0)"
8839836241fffff,175.0,V (Moderate),0 - 1000,"(0.8113417916186083, 0.8771241830065359, 0.9123029603998463, 1.0)"
