h3,population,Intensity,population_class,colors
88399d9491fffff,2.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88399d9451fffff,1.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88399d9413fffff,10.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398ed1a5fffff,331.0,VI (Strong),0 - 1000,"(0.7113725490196079, 0.8224298346789696, 0.8905344098423683, 1.0)"
88398e11dbfffff,4.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398e11d7fffff,13.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398e11d5fffff,63.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398e11c3fffff,1.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398e1187fffff,22.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398e1139fffff,71.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398e1117fffff,1.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398e1111fffff,1.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398e10a5fffff,9098.0,IV (Light),5000 - 10000,"(0.8815301806997309, 0.6392233756247596, 0.6153248750480584, 1.0)"
88398e0357fffff,1.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398e0055fffff,833.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398e3a05fffff,28.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398e2f57fffff,3879.0,IV (Light),1000 - 5000,"(0.8835524798154557, 0.7985236447520183, 0.7869434832756632, 1.0)"
88398e2f15fffff,3912.0,IV (Light),1000 - 5000,"(0.8835524798154557, 0.7985236447520183, 0.7869434832756632, 1.0)"
88398e2f05fffff,1.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398e2f03fffff,1.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398e2f01fffff,701.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398e2e43fffff,45.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398e2d6bfffff,273.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398e2d69fffff,69.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398e2d59fffff,341.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398a9addfffff,242.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398e2d45fffff,1515.0,IV (Light),1000 - 5000,"(0.8835524798154557, 0.7985236447520183, 0.7869434832756632, 1.0)"
88398e2d43fffff,69.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398a9ad7fffff,193.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398e2d0dfffff,341.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398e2c99fffff,1.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398a9ac3fffff,84.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398e2c3dfffff,3.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398e2c31fffff,1.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398e2c0bfffff,271.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398e2c07fffff,2.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398e2c01fffff,407.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398e2b35fffff,1.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398e2ae3fffff,25.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398e2ac9fffff,68.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398e2ac1fffff,202.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398a9a0bfffff,107.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398e2a8dfffff,7.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398e2969fffff,4399.0,IV (Light),1000 - 5000,"(0.8835524798154557, 0.7985236447520183, 0.7869434832756632, 1.0)"
88398e2949fffff,1.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398e2893fffff,21.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398a989bfffff,2.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398e2851fffff,137.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398a9859fffff,129.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398e2839fffff,124.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398e2811fffff,1.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398e2803fffff,284.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398e25ebfffff,22.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398e25d5fffff,17.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398e25d1fffff,37.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398e255dfffff,8.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398e2555fffff,11.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398e2531fffff,22.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398e251dfffff,5.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398e250bfffff,5.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398e2435fffff,9.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
88398e21b9fffff,1337.0,IV (Light),1000 - 5000,"(0.8835524798154557, 0.7985236447520183, 0.7869434832756632, 1.0)"
88398a933dfffff,1.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398a9335fffff,7.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398a9305fffff,1.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398a9235fffff,117.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398a91d1fffff,1.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398a91c5fffff,156.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88399db743fffff,1.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398e0dc3fffff,6069.0,IV (Light),5000 - 10000,"(0.8815301806997309, 0.6392233756247596, 0.6153248750480584, 1.0)"
88398c6a83fffff,948.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c6a4dfffff,33.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c636bfffff,369.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c6369fffff,246.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c6357fffff,1180.0,IV (Light),1000 - 5000,"(0.8835524798154557, 0.7985236447520183, 0.7869434832756632, 1.0)"
88398c6339fffff,1700.0,II - III (Weak),1000 - 5000,"(0.9308496732026144, 0.8300192233756247, 0.8026912725874664, 1.0)"
88398c6327fffff,20.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c6149fffff,1.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c6047fffff,2.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c6045fffff,19.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c600dfffff,1.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
88398c4f59fffff,41.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c4f39fffff,2564.0,IV (Light),1000 - 5000,"(0.8835524798154557, 0.7985236447520183, 0.7869434832756632, 1.0)"
88398c4f27fffff,76.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c4f23fffff,478.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c4f1dfffff,19.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c4f17fffff,348.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c4f15fffff,966.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c4f11fffff,48.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c4f03fffff,282.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c4eb7fffff,118.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c4eb5fffff,6.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c4e6dfffff,1701.0,IV (Light),1000 - 5000,"(0.8835524798154557, 0.7985236447520183, 0.7869434832756632, 1.0)"
88398c4e69fffff,13.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c4e65fffff,1.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c4ddbfffff,2055.0,IV (Light),1000 - 5000,"(0.8835524798154557, 0.7985236447520183, 0.7869434832756632, 1.0)"
88398c4d53fffff,1.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c4d4dfffff,7.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c4cc9fffff,1.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c4c69fffff,1213.0,IV (Light),1000 - 5000,"(0.8835524798154557, 0.7985236447520183, 0.7869434832756632, 1.0)"
88398c4c47fffff,734.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c4c45fffff,67.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c4c31fffff,112.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c4c25fffff,1109.0,IV (Light),1000 - 5000,"(0.8835524798154557, 0.7985236447520183, 0.7869434832756632, 1.0)"
88398c4c0dfffff,1.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c4c09fffff,2.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c489bfffff,63.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c476dfffff,1.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c4767fffff,957.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c4765fffff,429.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c4763fffff,33.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c4761fffff,48.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c473dfffff,646.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c4739fffff,345.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c472dfffff,1074.0,IV (Light),1000 - 5000,"(0.8835524798154557, 0.7985236447520183, 0.7869434832756632, 1.0)"
88398c472bfffff,14.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c4729fffff,16.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c4723fffff,333.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c4721fffff,5.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c4705fffff,76.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c4525fffff,976.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c44edfffff,103.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c44e5fffff,43.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c44e1fffff,118.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c44bbfffff,9.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c44b7fffff,3.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c44b1fffff,32.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c448dfffff,29.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c4481fffff,120.0,II - III (Weak),0 - 1000,"(0.936639753940792, 0.9420376778162245, 0.9553325643983084, 1.0)"
88398c4433fffff,496.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c4417fffff,80.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c4405fffff,60.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c42bdfffff,63.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c42b7fffff,13.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c42b3fffff,21.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c42b1fffff,1.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c42abfffff,81.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c42a9fffff,89.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c42a3fffff,21.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c41b7fffff,166.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c41b3fffff,45.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c40dbfffff,207.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c40d9fffff,258.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c40d3fffff,482.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c40d1fffff,17.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c403bfffff,1178.0,IV (Light),1000 - 5000,"(0.8835524798154557, 0.7985236447520183, 0.7869434832756632, 1.0)"
88398c4015fffff,992.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398e96ddfffff,185.0,V (Moderate),0 - 1000,"(0.8113417916186083, 0.8771241830065359, 0.9123029603998463, 1.0)"
88398e9693fffff,5.0,V (Moderate),0 - 1000,"(0.8113417916186083, 0.8771241830065359, 0.9123029603998463, 1.0)"
88398e9687fffff,27.0,V (Moderate),0 - 1000,"(0.8113417916186083, 0.8771241830065359, 0.9123029603998463, 1.0)"
88398e9683fffff,6.0,V (Moderate),0 - 1000,"(0.8113417916186083, 0.8771241830065359, 0.9123029603998463, 1.0)"
88398e9619fffff,47.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c5b5dfffff,47.0,V (Moderate),0 - 1000,"(0.8113417916186083, 0.8771241830065359, 0.9123029603998463, 1.0)"
88398c5b5bfffff,66.0,V (Moderate),0 - 1000,"(0.8113417916186083, 0.8771241830065359, 0.9123029603998463, 1.0)"
88398c5b59fffff,1.0,V (Moderate),0 - 1000,"(0.8113417916186083, 0.8771241830065359, 0.9123029603998463, 1.0)"
88398c5b57fffff,91.0,V (Moderate),0 - 1000,"(0.8113417916186083, 0.8771241830065359, 0.9123029603998463, 1.0)"
88398c5b43fffff,7.0,V (Moderate),0 - 1000,"(0.8113417916186083, 0.8771241830065359, 0.9123029603998463, 1.0)"
88398c5b3dfffff,85.0,V (Moderate),0 - 1000,"(0.8113417916186083, 0.8771241830065359, 0.9123029603998463, 1.0)"
88398c5b3bfffff,27.0,V (Moderate),0 - 1000,"(0.8113417916186083, 0.8771241830065359, 0.9123029603998463, 1.0)"
88398c5b39fffff,44.0,V (Moderate),0 - 1000,"(0.8113417916186083, 0.8771241830065359, 0.9123029603998463, 1.0)"
88398c5b33fffff,62.0,V (Moderate),0 - 1000,"(0.8113417916186083, 0.8771241830065359, 0.9123029603998463, 1.0)"
88398c5b2bfffff,46.0,V (Moderate),0 - 1000,"(0.8113417916186083, 0.8771241830065359, 0.9123029603998463, 1.0)"
88398c5b1dfffff,13.0,V (Moderate),0 - 1000,"(0.8113417916186083, 0.8771241830065359, 0.9123029603998463, 1.0)"
88398c5b17fffff,9.0,V (Moderate),0 - 1000,"(0.8113417916186083, 0.8771241830065359, 0.9123029603998463, 1.0)"
88398c5b11fffff,38.0,V (Moderate),0 - 1000,"(0.8113417916186083, 0.8771241830065359, 0.9123029603998463, 1.0)"
88398c5b05fffff,1.0,V (Moderate),0 - 1000,"(0.8113417916186083, 0.8771241830065359, 0.9123029603998463, 1.0)"
88398c5b01fffff,1.0,V (Moderate),0 - 1000,"(0.8113417916186083, 0.8771241830065359, 0.9123029603998463, 1.0)"
88398c5ae3fffff,486.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c5ae1fffff,3403.0,IV (Light),1000 - 5000,"(0.8835524798154557, 0.7985236447520183, 0.7869434832756632, 1.0)"
88398c5ad7fffff,83.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c5a99fffff,11.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c5a8bfffff,665.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c5a6dfffff,96.0,V (Moderate),0 - 1000,"(0.8113417916186083, 0.8771241830065359, 0.9123029603998463, 1.0)"
88398c5a6bfffff,2.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c5a65fffff,2922.0,IV (Light),1000 - 5000,"(0.8835524798154557, 0.7985236447520183, 0.7869434832756632, 1.0)"
88398c5a63fffff,13.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c5a61fffff,29.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c5a57fffff,10.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c5a4bfffff,67.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c5a39fffff,1.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c5a2dfffff,26.0,V (Moderate),0 - 1000,"(0.8113417916186083, 0.8771241830065359, 0.9123029603998463, 1.0)"
88398c5a2bfffff,14.0,V (Moderate),0 - 1000,"(0.8113417916186083, 0.8771241830065359, 0.9123029603998463, 1.0)"
88398c5a29fffff,505.0,V (Moderate),0 - 1000,"(0.8113417916186083, 0.8771241830065359, 0.9123029603998463, 1.0)"
88398c5a21fffff,11.0,V (Moderate),0 - 1000,"(0.8113417916186083, 0.8771241830065359, 0.9123029603998463, 1.0)"
88398c5a19fffff,1.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c5a0dfffff,192.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c5a0bfffff,88.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c5a07fffff,9.0,IV (Light),0 - 1000,"(0.8893425605536333, 0.9105420991926182, 0.9395847750865052, 1.0)"
88398c59e7fffff,33.0,V (Moderate),0 - 1000,"(0.8113417916186083, 0.8771241830065359, 0.9123029603998463, 1.0)"
88398c59e5fffff,21.0,V (Moderate),0 - 1000,"(0.8113417916186083, 0.8771241830065359, 0.9123029603998463, 1.0)"
88398c59cbfffff,120.0,V (Moderate),0 - 1000,"(0.8113417916186083, 0.8771241830065359, 0.9123029603998463, 1.0)"
88398c59c9fffff,59.0,V (Moderate),0 - 1000,"(0.8113417916186083, 0.8771241830065359, 0.9123029603998463, 1.0)"
88398c59c1fffff,207.0,V (Moderate),0 - 1000,"(0.8113417916186083, 0.8771241830065359, 0.9123029603998463, 1.0)"
88398c59bdfffff,50.0,V (Moderate),0 - 1000,"(0.8113417916186083, 0.8771241830065359, 0.9123029603998463, 1.0)"
88398c59a7fffff,1.0,V (Moderate),0 - 1000,"(0.8113417916186083, 0.8771241830065359, 0.9123029603998463, 1.0)"
88398c59a1fffff,4.0,V (Moderate),0 - 1000,"(0.8113417916186083, 0.8771241830065359, 0.9123029603998463, 1.0)"
88398c5987fffff,238.0,V (Moderate),0 - 1000,"(0.8113417916186083, 0.8771241830065359, 0.9123029603998463, 1.0)"
88398c595bfffff,14.0,V (Moderate),0 - 1000,"(0.8113417916186083, 0.8771241830065359, 0.9123029603998463, 1.0)"
88398c5953fffff,57.0,V (Moderate),0 - 1000,"(0.8113417916186083, 0.8771241830065359, 0.9123029603998463, 1.0)"
88398c5947fffff,17.0,V (Moderate),0 - 1000,"(0.8113417916186083, 0.8771241830065359, 0.9123029603998463, 1.0)"
88398c5943fffff,42.0,V (Moderate),0 - 1000,"(0.8113417916186083, 0.8771241830065359, 0.9123029603998463, 1.0)"
88398c5941fffff,47.0,V (Moderate),0 - 1000,"(0.8113417916186083, 0.8771241830065359, 0.9123029603998463, 1.0)"
88398c5927fffff,42.0,V (Moderate),0 - 1000,"(0.8113417916186083, 0.8771241830065359, 0.9123029603998463, 1.0)"
88398c5925fffff,254.0,V (Moderate),0 - 1000,"(0.8113417916186083, 0.8771241830065359, 0.9123029603998463, 1.0)"
88398c591bfffff,1381.0,V (Moderate),1000 - 5000,"(0.8055517108804306, 0.7651057285659362, 0.7596616685890043, 1.0)"
88398c5913fffff,304.0,V (Moderate),0 - 1000,"(0.8113417916186083, 0.8771241830065359, 0.9123029603998463, 1.0)"
88398c590bfffff,4.0,V (Moderate),0 - 1000,"(0.8113417916186083, 0.8771241830065359, 0.9123029603998463, 1.0)"
88398c5863fffff,67.0,V (Moderate),0 - 1000,"(0.8113417916186083, 0.8771241830065359, 0.9123029603998463, 1.0)"
88398c585dfffff,50.0,V (Moderate),0 - 1000,"(0.8113417916186083, 0.8771241830065359, 0.9123029603998463, 1.0)"
88398c5859fffff,52.0,V (Moderate),0 - 1000,"(0.8113417916186083, 0.8771241830065359, 0.9123029603998463, 1.0)"
88398c5843fffff,142.0,V (Moderate),0 - 1000,"(0.8113417916186083, 0.8771241830065359, 0.9123029603998463, 1.0)"
88398c583dfffff,56.0,V (Moderate),0 - 1000,"(0.8113417916186083, 0.8771241830065359, 0.9123029603998463, 1.0)"
88398c5835fffff,2293.0,V (Moderate),1000 - 5000,"(0.8055517108804306, 0.7651057285659362, 0.7596616685890043, 1.0)"
88398c582dfffff,56.0,V (Moderate),0 - 1000,"(0.8113417916186083, 0.8771241830065359, 0.9123029603998463, 1.0)"
